matched pairs of er	kea:1042
days	econ:670 auto:945 kea:78 StructMineDataPipeline:2 spacy_np:72 textrank:68
c3b	econ:689 auto:833 kea:760 StructMineDataPipeline:1068 spacy_np:999
risk of hepatocellular carcinoma	auto:1087 kea:802
chronic kidney disease ckd	econ:860 auto:96 rake:23 StructMineDataPipeline:358 spacy_np:316
central nervous system cns	econ:475 auto:143 rake:21 StructMineDataPipeline:344 spacy_np:937
rehydration therapy	econ:535 auto:1059 rake:241 kea:758 StructMineDataPipeline:1085 spacy_np:1000
rt-pcr	econ:100 kea:1011 StructMineDataPipeline:701 spacy_np:662
manuscript	econ:545 auto:779 kea:606 StructMineDataPipeline:595 spacy_np:1119 textrank:629
dose regimen	econ:693 auto:167 rake:138 kea:1124 StructMineDataPipeline:778 textrank:762
pituitary hormones	econ:854 auto:293 rake:301 kea:1085 StructMineDataPipeline:815 spacy_np:866
cd4 cell	econ:321 auto:361 kea:250 StructMineDataPipeline:972 spacy_np:1001
t-helper cells	econ:761 kea:964 StructMineDataPipeline:896 spacy_np:840
dti	econ:514 auto:577 kea:1099 StructMineDataPipeline:655 spacy_np:547 textrank:674
ciprofloxacin	econ:669 auto:258 kea:42 StructMineDataPipeline:69 spacy_np:38 textrank:206
tourette s syndrome	econ:847 auto:603 StructMineDataPipeline:918 spacy_np:480
holter	econ:543 auto:400 kea:622 StructMineDataPipeline:951 spacy_np:970 textrank:744
patients with metastatic breast	kea:755
myelomonocytic leukemia	econ:258 auto:105 rake:310 kea:591 StructMineDataPipeline:1118 spacy_np:1009
rates	econ:104 auto:956 kea:40 StructMineDataPipeline:21 spacy_np:26 textrank:49
observations	econ:36 auto:375 kea:542 StructMineDataPipeline:66 spacy_np:237 textrank:11
past several years	econ:1143 rake:102 kea:927 StructMineDataPipeline:553
3-year survival	econ:715 kea:1100 StructMineDataPipeline:1020 spacy_np:904
glucose	econ:13 auto:732 kea:99 StructMineDataPipeline:88 spacy_np:45 textrank:62
nutrition	econ:523 auto:343 kea:73 StructMineDataPipeline:163 spacy_np:130 textrank:36
intestine	econ:436 auto:864 kea:103 StructMineDataPipeline:303 spacy_np:645 textrank:429
relationship	econ:119 auto:937 kea:905 StructMineDataPipeline:20 spacy_np:91 textrank:63
matching placebo	econ:948 auto:177 rake:167 kea:1024 StructMineDataPipeline:816 spacy_np:652
serotonin	econ:417 auto:305 kea:219 StructMineDataPipeline:229 spacy_np:200 textrank:487
danazol	econ:544 auto:583 kea:509 StructMineDataPipeline:408 spacy_np:419 textrank:354
immunodeficiency virus	econ:137 auto:1050 kea:301 textrank:480
ceftriaxone	econ:305 auto:219 kea:46 StructMineDataPipeline:171 spacy_np:154 textrank:329
beh	econ:112 kea:319 StructMineDataPipeline:271 spacy_np:1062 textrank:703
isolation	econ:421 auto:602 kea:666 StructMineDataPipeline:130 spacy_np:119 textrank:357
war	econ:260 auto:275 kea:233 StructMineDataPipeline:228 spacy_np:256 textrank:259
sera	econ:617 auto:283 kea:106 StructMineDataPipeline:72 spacy_np:88 textrank:300
headache	econ:24 auto:399 kea:155 StructMineDataPipeline:104 spacy_np:70 textrank:107
susceptibility loci	econ:875 auto:196 rake:355 kea:946 StructMineDataPipeline:991 spacy_np:923
boston	econ:540 auto:246 kea:881 StructMineDataPipeline:457 spacy_np:429 textrank:707
spectrum	econ:116 auto:756 kea:875 StructMineDataPipeline:107 spacy_np:359 textrank:568
pubmed	econ:364 auto:296 kea:689 StructMineDataPipeline:129 spacy_np:94 textrank:274
uganda	econ:344 auto:175 kea:516 StructMineDataPipeline:242 spacy_np:211 textrank:633
bordetella pertussis	econ:840 auto:46 rake:291 kea:984 StructMineDataPipeline:779 spacy_np:674
concentration	econ:110 auto:989 kea:104 StructMineDataPipeline:56 spacy_np:163 textrank:123
minimal inhibitory concentration	econ:512 auto:91 rake:39 kea:742 StructMineDataPipeline:836 spacy_np:971
demonstration	econ:557 auto:442 kea:379 StructMineDataPipeline:197 spacy_np:294 textrank:559
gram-negative bacteria	econ:643 kea:375 StructMineDataPipeline:330 spacy_np:314
administration fda	econ:159 kea:986
relapse	econ:152 auto:497 kea:55 StructMineDataPipeline:47 spacy_np:31 textrank:76
the first 6 months	auto:1102 spacy_np:379
renal transplant patients	econ:951 auto:944 rake:76 kea:699 StructMineDataPipeline:570 spacy_np:555
gravity	econ:1042 auto:914 kea:195 StructMineDataPipeline:700 spacy_np:740 textrank:643
fibrils	econ:332 auto:948 kea:662 StructMineDataPipeline:699 spacy_np:806 textrank:598
pressure values	econ:548 auto:1089 rake:302 kea:991 StructMineDataPipeline:1143 spacy_np:1114
contact	econ:207 auto:716 kea:667 StructMineDataPipeline:159 spacy_np:126 textrank:498
confidence limit	econ:109 auto:902 rake:354 kea:857 StructMineDataPipeline:768 textrank:766
cameroon	econ:533 auto:829 kea:963 StructMineDataPipeline:715 spacy_np:637
hamartoma	econ:872 auto:805 kea:704 StructMineDataPipeline:953 spacy_np:894 textrank:628
amyotrophic lateral sclerosis als	econ:788 auto:44 rake:31 StructMineDataPipeline:541 spacy_np:472
prednisone	econ:239 auto:498 kea:266 StructMineDataPipeline:91 spacy_np:239 textrank:8
tim-3	econ:837 kea:514 StructMineDataPipeline:1010 spacy_np:1043
virus	econ:106 auto:873 kea:70 StructMineDataPipeline:39 spacy_np:102 textrank:84
carcinoma	econ:124 auto:856 kea:45 StructMineDataPipeline:73 spacy_np:46 textrank:115
antrum	econ:449 auto:901 kea:942 StructMineDataPipeline:684 spacy_np:867 textrank:760
aetiological role	econ:1073 auto:232 rake:192 kea:709 StructMineDataPipeline:802
melbourne	econ:328 auto:188 kea:468 StructMineDataPipeline:226 spacy_np:249 textrank:503
thalidomide	econ:395 auto:527 kea:241 StructMineDataPipeline:306 spacy_np:264 textrank:240
thc	econ:738 auto:516 kea:272 StructMineDataPipeline:651 spacy_np:559 textrank:355
factor viii	econ:129 auto:11 rake:99 kea:1 StructMineDataPipeline:218 spacy_np:598
mri	econ:131 auto:437 kea:191 StructMineDataPipeline:76 spacy_np:32 textrank:153
cd28	econ:684 auto:279 kea:416 StructMineDataPipeline:670 spacy_np:675
candidosis	econ:398 auto:977 kea:641 StructMineDataPipeline:1088 spacy_np:1046 textrank:377
beta chain	econ:1059 auto:99 rake:112 kea:633 StructMineDataPipeline:998
b streptococci	econ:360 rake:262 StructMineDataPipeline:1138 textrank:728
vaccines	econ:140 auto:479 kea:9 StructMineDataPipeline:67 spacy_np:64 textrank:64
ngf	econ:18 auto:517 kea:361 StructMineDataPipeline:642 spacy_np:465 textrank:205
b fragilis	econ:578 auto:936 rake:285 StructMineDataPipeline:735 spacy_np:676
idh1	econ:780 auto:816 kea:429 StructMineDataPipeline:810 spacy_np:785
screening	econ:142 auto:436 kea:39 StructMineDataPipeline:70 spacy_np:51 textrank:1
patients with small cell	auto:1086 kea:941
awareness	econ:644 auto:488 kea:278 StructMineDataPipeline:52 spacy_np:50 textrank:34
spermicide	econ:386 auto:991 kea:685 StructMineDataPipeline:978 spacy_np:1054 textrank:402
internists	econ:467 auto:202 kea:626 StructMineDataPipeline:299 spacy_np:278 textrank:662
zambia	econ:580 auto:297 kea:960 StructMineDataPipeline:399 spacy_np:353 textrank:747
coxiella burnetii	econ:708 auto:32 rake:219 kea:835 StructMineDataPipeline:780 spacy_np:691
neuroimaging	econ:60 auto:168 kea:681 StructMineDataPipeline:525 spacy_np:411 textrank:74
hifu	econ:534 auto:913 kea:711 StructMineDataPipeline:954 spacy_np:869 textrank:687
tbi	econ:145 auto:407 kea:67 StructMineDataPipeline:309 spacy_np:241 textrank:234
hemodialysis hd	econ:584 auto:139 rake:320 kea:1056 StructMineDataPipeline:935 spacy_np:842
missense mutation	econ:881 auto:221 rake:263 kea:1102 StructMineDataPipeline:974
cryptosporidium	econ:1083 auto:379 kea:589 StructMineDataPipeline:514 spacy_np:449 textrank:613
latin america	econ:546 auto:8 rake:153 kea:625 StructMineDataPipeline:280 spacy_np:247
emg	econ:748 auto:745 kea:600 StructMineDataPipeline:1060 spacy_np:962 textrank:602
baroreflex	econ:473 auto:457 kea:911 StructMineDataPipeline:1145 textrank:422
countries	econ:147 auto:893 kea:10 StructMineDataPipeline:18 spacy_np:39 textrank:288
recent report	econ:1045 auto:1093 rake:321 kea:1073 StructMineDataPipeline:796 textrank:39
shape	econ:1007 auto:817 kea:1068 StructMineDataPipeline:502 spacy_np:611 textrank:736
stemi	econ:186 auto:464 kea:75 StructMineDataPipeline:291 spacy_np:295 textrank:25
enema	econ:627 auto:646 kea:670 StructMineDataPipeline:1047 spacy_np:865 textrank:673
tmp smx	econ:354 auto:19 rake:104 kea:271 StructMineDataPipeline:693 spacy_np:621
sensitivity	econ:155 auto:673 kea:178 StructMineDataPipeline:26 spacy_np:41 textrank:222
university college london	econ:829 auto:43 rake:20 kea:937 StructMineDataPipeline:1023 spacy_np:906
moderate risk	econ:1114 auto:1036 rake:194 kea:1034 StructMineDataPipeline:674 spacy_np:659
brazil	econ:431 auto:163 kea:578 StructMineDataPipeline:211 spacy_np:158 textrank:642
antimony	econ:581 auto:874 kea:806 StructMineDataPipeline:1013 spacy_np:871 textrank:635
starting point	econ:1113 auto:814 rake:293 kea:955 StructMineDataPipeline:966 textrank:794
omeprazole	econ:691 auto:184 kea:153 StructMineDataPipeline:320 spacy_np:196 textrank:138
ability	econ:744 auto:949 kea:144 StructMineDataPipeline:29 spacy_np:214 textrank:414
124 patients	auto:1101 rake:282 spacy_np:600
choroid	econ:645 auto:978 kea:673 StructMineDataPipeline:756 spacy_np:1003 textrank:54
1-year mortality	econ:401 kea:908 StructMineDataPipeline:455 spacy_np:463
american board	econ:825 rake:141 kea:1071 StructMineDataPipeline:697 spacy_np:1091
splenic sequestration	econ:340 auto:131 rake:230 kea:501 StructMineDataPipeline:975 spacy_np:870
life-threatening complication	econ:678 kea:947 StructMineDataPipeline:517 spacy_np:1051
erythropoietin	econ:167 auto:235 kea:166 StructMineDataPipeline:244 spacy_np:198 textrank:99
aminopyrine	econ:353 auto:808 kea:859 StructMineDataPipeline:990 spacy_np:922 textrank:396
tsus	econ:1129 auto:696 kea:215 StructMineDataPipeline:628 spacy_np:803 textrank:291
perceptions	econ:495 auto:714 kea:530 StructMineDataPipeline:205 spacy_np:227 textrank:622
crohn s disease	econ:468 auto:663 StructMineDataPipeline:99 spacy_np:49
hypoglycemia	econ:170 auto:330 kea:307 StructMineDataPipeline:116 spacy_np:75 textrank:214
18 patients	auto:1103 rake:59 spacy_np:114
strong predictor	econ:1102 rake:290 kea:938 StructMineDataPipeline:435
strains	econ:334 auto:881 kea:65 StructMineDataPipeline:61 spacy_np:121 textrank:227
misoprostol	econ:98 auto:200 kea:123 StructMineDataPipeline:223 spacy_np:174 textrank:466
prevention in atrial fibrillation	kea:887
e3 ubiquitin	econ:521 auto:138 kea:1098
grounds	econ:721 auto:973 kea:840 StructMineDataPipeline:403 spacy_np:605 textrank:505
pakistan	econ:482 auto:185 kea:143 StructMineDataPipeline:315 spacy_np:277 textrank:109
comparison group	econ:1166 auto:1064 rake:202 kea:593 StructMineDataPipeline:380 spacy_np:980 textrank:665
hepatotoxicity	econ:1009 auto:291 kea:653 StructMineDataPipeline:314 spacy_np:310 textrank:411
wall	econ:174 auto:920 kea:451 StructMineDataPipeline:354 spacy_np:907 textrank:476
aureus infections	econ:432 rake:210 kea:1014 textrank:544
epcs	econ:505 auto:690 kea:371 StructMineDataPipeline:650 spacy_np:607 textrank:285
reasonable alternative	econ:1109 rake:340 kea:1139 StructMineDataPipeline:828 textrank:20
tgf	econ:134 auto:475 kea:694 StructMineDataPipeline:857 spacy_np:898 textrank:464
pct	econ:641 auto:420 kea:309 StructMineDataPipeline:453 spacy_np:395 textrank:312
nocturnal hypoglycemia	econ:849 auto:252 rake:211 kea:934 StructMineDataPipeline:841 spacy_np:751
care environment	econ:649 rake:311 kea:1029 StructMineDataPipeline:1052
contraception	econ:409 auto:220 kea:152 StructMineDataPipeline:164 spacy_np:124 textrank:80
siv	econ:178 auto:429 kea:436 StructMineDataPipeline:594 spacy_np:521 textrank:231
bevacizumab	econ:623 auto:268 kea:176 StructMineDataPipeline:219 spacy_np:176 textrank:379
cent	econ:179 auto:1032 kea:33 StructMineDataPipeline:6 spacy_np:1 textrank:27
earthquake	econ:1036 auto:416 kea:730 StructMineDataPipeline:748 spacy_np:1118 textrank:667
veterans administration	econ:180 auto:52 rake:231 kea:854 StructMineDataPipeline:900
other ethnic groups	econ:1160 auto:1084 kea:792 StructMineDataPipeline:694 spacy_np:643
referral center	econ:621 auto:153 rake:275 kea:1000 StructMineDataPipeline:955
ireland	econ:480 auto:173 kea:965 StructMineDataPipeline:406 spacy_np:350 textrank:669
b therapy	econ:479 rake:356 StructMineDataPipeline:1074 spacy_np:1105 textrank:692
capsid	econ:181 auto:798 kea:446 StructMineDataPipeline:1072 spacy_np:1048 textrank:388
dmards	econ:182 auto:713 kea:360 StructMineDataPipeline:919 spacy_np:717 textrank:714
spect ct	econ:963 auto:78 rake:116 kea:245 StructMineDataPipeline:1012 spacy_np:941
iddm	econ:274 auto:462 kea:138 StructMineDataPipeline:165 spacy_np:156 textrank:209
potential importance	econ:1163 auto:1055 rake:304 kea:996 StructMineDataPipeline:654 spacy_np:975
meningitis	econ:255 auto:680 kea:105 StructMineDataPipeline:105 spacy_np:67 textrank:208
bmd	econ:183 auto:419 kea:235 StructMineDataPipeline:220 spacy_np:206 textrank:243
pancreatic juice	econ:1052 auto:109 rake:272 kea:700 StructMineDataPipeline:884 spacy_np:757
pathogenetic role	econ:1093 auto:666 rake:341 kea:895 StructMineDataPipeline:783 spacy_np:1095
declaration	econ:945 auto:618 kea:376 StructMineDataPipeline:484 spacy_np:990 textrank:599
pthrp	econ:1006 auto:298 kea:159 StructMineDataPipeline:563 spacy_np:498 textrank:186
lymphocytes	econ:220 auto:758 kea:288 StructMineDataPipeline:81 spacy_np:77 textrank:97
hypotension	econ:190 auto:478 kea:422 StructMineDataPipeline:122 spacy_np:85 textrank:462
gi tract	econ:488 auto:119 rake:238 kea:443 StructMineDataPipeline:698 textrank:606
consultant	econ:513 auto:784 kea:803 StructMineDataPipeline:566 spacy_np:930 textrank:299
pemphigus vulgaris	econ:1020 auto:86 rake:323 kea:873 StructMineDataPipeline:782 spacy_np:644
vitro experiments	rake:324 kea:858 StructMineDataPipeline:749 spacy_np:697
maces	econ:191 auto:684 kea:1097 StructMineDataPipeline:820 spacy_np:553 textrank:650
policies	econ:806 auto:518 kea:322 StructMineDataPipeline:162 spacy_np:132 textrank:14
west indies	econ:767 auto:51 rake:325 kea:884 StructMineDataPipeline:763 spacy_np:931
adenomatous polyps	econ:991 auto:20 rake:156 kea:1039 StructMineDataPipeline:596 spacy_np:550
chernobyl	econ:783 auto:388 kea:531 StructMineDataPipeline:824 spacy_np:695 textrank:700
significant fall	econ:1058 auto:1090 rake:258 kea:1053 StructMineDataPipeline:387 textrank:21
polymer	econ:194 auto:652 kea:84 StructMineDataPipeline:1001 spacy_np:1058 textrank:302
gallbladder stones	econ:871 auto:117 rake:187 kea:945 StructMineDataPipeline:859 spacy_np:733
anastomosis	econ:712 auto:776 kea:263 StructMineDataPipeline:489 spacy_np:491 textrank:646
crrt	econ:393 auto:859 kea:935 StructMineDataPipeline:771 spacy_np:638 textrank:672
raised levels	auto:1075 rake:206 kea:1146 StructMineDataPipeline:976 spacy_np:577
significant proportion	econ:1137 rake:169 kea:696 StructMineDataPipeline:293 textrank:50
vsmcs	econ:47 auto:877 kea:988 StructMineDataPipeline:948 spacy_np:747 textrank:763
therapeutic advantage	econ:1149 auto:777 rake:279 kea:1033 StructMineDataPipeline:839 spacy_np:943
intention-to-treat analysis	econ:1055 kea:906 StructMineDataPipeline:536 spacy_np:629
motor impairment	econ:804 auto:309 rake:307 kea:592 StructMineDataPipeline:868 spacy_np:852
cut-off point	econ:672 kea:821 StructMineDataPipeline:619 spacy_np:977
gonadal dysgenesis	econ:1019 auto:45 rake:326 kea:841 StructMineDataPipeline:932 spacy_np:804
penicillin g benzathine	econ:717 auto:554 rake:98 StructMineDataPipeline:956 spacy_np:828
gastroenterology	econ:706 auto:469 kea:434 StructMineDataPipeline:640 spacy_np:558 textrank:745
intervention trial	econ:887 auto:229 rake:260 kea:636 StructMineDataPipeline:971 spacy_np:1084
dust	econ:143 auto:852 kea:900 StructMineDataPipeline:604 spacy_np:494 textrank:589
mucosal surfaces	econ:852 auto:111 rake:327 kea:982 StructMineDataPipeline:760 spacy_np:735
antibodies	econ:206 auto:923 kea:21 StructMineDataPipeline:24 spacy_np:11 textrank:88
uncontrolled hypertension	econ:1096 auto:477 rake:133 kea:623 StructMineDataPipeline:629 spacy_np:554
vascular occlusion	econ:982 auto:164 rake:296 kea:819 StructMineDataPipeline:705 spacy_np:708
thr	econ:618 auto:831 kea:897 StructMineDataPipeline:999 spacy_np:885 textrank:644
opg	econ:679 auto:552 kea:83 StructMineDataPipeline:687 spacy_np:639 textrank:439
urinary symptoms	econ:770 auto:1040 rake:155 kea:1036 StructMineDataPipeline:858 spacy_np:750
endometriosis	econ:781 auto:292 kea:69 StructMineDataPipeline:233 spacy_np:197 textrank:417
researchers	econ:817 auto:327 kea:485 StructMineDataPipeline:127 spacy_np:98 textrank:61
loracarbef	econ:522 auto:586 kea:82 StructMineDataPipeline:469 spacy_np:461 textrank:366
anterior chamber	econ:537 auto:107 rake:278 kea:990 StructMineDataPipeline:901 spacy_np:1050
hepatic glucose output	econ:890 auto:112 rake:91 kea:855 StructMineDataPipeline:882 spacy_np:805
pressure bp	econ:489 rake:345 kea:978 StructMineDataPipeline:1136
tcm	econ:211 auto:414 kea:13 StructMineDataPipeline:338 spacy_np:284 textrank:239
end point	econ:212 auto:77 rake:162 kea:688 StructMineDataPipeline:926 textrank:713
dopamine	econ:423 auto:332 kea:220 StructMineDataPipeline:230 spacy_np:181 textrank:282
vertebral bodies	econ:955 auto:94 rake:292 kea:871 StructMineDataPipeline:897 spacy_np:893
nausea	econ:215 auto:675 kea:510 StructMineDataPipeline:101 spacy_np:62 textrank:592
extracellular matrix ecm	econ:765 auto:75 rake:51 kea:879 StructMineDataPipeline:863 spacy_np:927
cvd	econ:193 auto:491 kea:137 StructMineDataPipeline:136 spacy_np:87 textrank:176
metaplasia	econ:221 auto:931 kea:268 StructMineDataPipeline:883 spacy_np:844 textrank:652
emergency	econ:315 auto:409 kea:90 StructMineDataPipeline:290 spacy_np:457 textrank:28
government	econ:442 auto:314 kea:223 StructMineDataPipeline:148 spacy_np:236 textrank:32
activated charcoal	auto:59 rake:146 kea:659 StructMineDataPipeline:704 spacy_np:606 textrank:520
oct	econ:720 auto:471 kea:273 StructMineDataPipeline:552 spacy_np:453 textrank:341
zimbabwe	econ:632 auto:574 kea:728 StructMineDataPipeline:490 spacy_np:426 textrank:738
pseudomonas species	econ:444 auto:137 rake:173 kea:1107 StructMineDataPipeline:876 spacy_np:892
bph	econ:226 auto:581 kea:107 StructMineDataPipeline:398 spacy_np:362 textrank:286
extracellular fluid	econ:883 auto:190 rake:239 kea:724 StructMineDataPipeline:648 spacy_np:827
mhc	econ:228 auto:307 kea:281 StructMineDataPipeline:723 spacy_np:833 textrank:283
imatinib	econ:237 auto:210 kea:142 StructMineDataPipeline:262 spacy_np:167 textrank:319
hosts	econ:866 auto:968 kea:624 StructMineDataPipeline:765 spacy_np:793 textrank:165
parasitic infection	econ:910 auto:679 rake:280 kea:1001 StructMineDataPipeline:902 spacy_np:1006
polymers	econ:1049 auto:996 kea:404 StructMineDataPipeline:1040 spacy_np:989 textrank:303
rpe	econ:950 auto:915 kea:406 StructMineDataPipeline:964 spacy_np:810 textrank:398
two methods	auto:1106 rake:163 spacy_np:535
effusion	econ:824 auto:911 kea:110 StructMineDataPipeline:382 spacy_np:352 textrank:367
fev1	econ:234 auto:225 kea:366 StructMineDataPipeline:201 spacy_np:207
hrqol	econ:719 auto:363 kea:205 StructMineDataPipeline:393 spacy_np:337 textrank:304
hydrocortisone	econ:735 auto:578 kea:776 StructMineDataPipeline:343 spacy_np:315 textrank:477
important goal	econ:1136 auto:1085 rake:328 kea:1030 StructMineDataPipeline:797
gene-related peptide	econ:241 kea:921 StructMineDataPipeline:1037 spacy_np:979
markers	econ:242 auto:865 kea:283 StructMineDataPipeline:102 spacy_np:90 textrank:7
ddh	econ:571 auto:885 kea:372 StructMineDataPipeline:914 spacy_np:762 textrank:722
mutation	econ:9 auto:588 kea:114 StructMineDataPipeline:84 spacy_np:215 textrank:92
organ system	econ:699 auto:1057 rake:207 kea:759 StructMineDataPipeline:714 spacy_np:994
ufh	econ:365 auto:925 kea:499 StructMineDataPipeline:879 spacy_np:710 textrank:721
diltiazem	econ:358 auto:285 kea:298 StructMineDataPipeline:355 spacy_np:334 textrank:441
kaposi sarcoma	econ:992 auto:22 rake:159 kea:632 StructMineDataPipeline:637 spacy_np:603
cgd	econ:53 auto:820 kea:816 StructMineDataPipeline:827 spacy_np:665 textrank:740
mifepristone	econ:456 auto:380 kea:248 StructMineDataPipeline:482 spacy_np:375 textrank:510
mefloquine	econ:487 auto:205 kea:217 StructMineDataPipeline:364 spacy_np:387 textrank:552
ndi	econ:253 auto:582 kea:863 StructMineDataPipeline:792 spacy_np:818 textrank:562
scientific knowledge	econ:731 auto:677 rake:330 kea:1047 StructMineDataPipeline:610 spacy_np:574
transgenic mouse model	econ:613 auto:787 rake:95 kea:948 StructMineDataPipeline:804 textrank:796
cect	econ:932 auto:888 kea:381 StructMineDataPipeline:832 spacy_np:716 textrank:777
acyclovir	econ:254 auto:237 kea:31 StructMineDataPipeline:123 spacy_np:92 textrank:193
pancreatitis	econ:441 auto:524 kea:62 StructMineDataPipeline:198 spacy_np:199 textrank:146
broad range	econ:1118 auto:1046 rake:175 kea:969 StructMineDataPipeline:310 textrank:163
hypothermia	econ:413 auto:301 kea:432 StructMineDataPipeline:236 spacy_np:225 textrank:460
metastatic castration-resistant prostate cancer	econ:957 StructMineDataPipeline:734 spacy_np:597
plethora	econ:975 auto:1033 kea:1043 StructMineDataPipeline:672 spacy_np:1115
profession	econ:162 auto:943 kea:503 StructMineDataPipeline:327 spacy_np:933 textrank:683
placebo patients	econ:1154 rake:85 kea:896 StructMineDataPipeline:613 spacy_np:712
proteinuria	econ:266 auto:591 kea:236 StructMineDataPipeline:92 spacy_np:65 textrank:383
cell cycle arrest	econ:766 auto:98 rake:86 kea:1093 StructMineDataPipeline:908 spacy_np:881
edta	econ:677 auto:525 kea:414 StructMineDataPipeline:895 spacy_np:778 textrank:136
epidemics	econ:666 auto:748 kea:390 StructMineDataPipeline:203 spacy_np:243 textrank:46
tem	econ:1035 auto:801 kea:750 StructMineDataPipeline:1042 spacy_np:986 textrank:657
poland	econ:585 auto:329 kea:442 StructMineDataPipeline:500 spacy_np:454 textrank:648
colchicine	econ:661 auto:487 kea:630 StructMineDataPipeline:325 spacy_np:276 textrank:361
transfer	econ:374 auto:898 kea:1017 StructMineDataPipeline:180 spacy_np:219 textrank:509
ppar	econ:259 auto:312 kea:167 StructMineDataPipeline:630 spacy_np:580 textrank:340
letter	econ:614 auto:226 kea:807 StructMineDataPipeline:276 spacy_np:328 textrank:177
head	econ:261 auto:613 kea:464 StructMineDataPipeline:78 spacy_np:191 textrank:139
insulin-dependent diabetics	econ:694 kea:472 StructMineDataPipeline:396 spacy_np:459
cytoplasm	econ:900 auto:953 kea:862 StructMineDataPipeline:371 spacy_np:882 textrank:495
carboxyhemoglobin	econ:306 auto:946 kea:822 StructMineDataPipeline:982 spacy_np:841 textrank:626
potassium	econ:262 auto:572 kea:29 StructMineDataPipeline:154 spacy_np:106 textrank:85
volume	econ:486 auto:857 kea:100 StructMineDataPipeline:157 spacy_np:160 textrank:334
percentage points	econ:1153 auto:65 rake:358 kea:512 StructMineDataPipeline:564 spacy_np:1116
the content	spacy_np:374
count	econ:72 auto:868 kea:918 StructMineDataPipeline:713 spacy_np:1020 textrank:272
nmol	econ:198 auto:1007 kea:1113 StructMineDataPipeline:744 spacy_np:1106 textrank:87
arterial pressure map	econ:511 kea:576 StructMineDataPipeline:1109 spacy_np:836
surgical margins	econ:983 auto:176 rake:108 kea:992 StructMineDataPipeline:936 spacy_np:895
experimental autoimmune encephalomyelitis eae	econ:810 auto:54 rake:10 StructMineDataPipeline:737 spacy_np:713
complications	econ:163 auto:778 kea:27 StructMineDataPipeline:14 spacy_np:8 textrank:132
hydrochlorothiazide	econ:377 auto:685 kea:192 StructMineDataPipeline:172 spacy_np:116 textrank:345
immunosorbent assays	econ:316 auto:434 kea:1081 spacy_np:981
hdv	econ:189 auto:765 kea:287 StructMineDataPipeline:847 spacy_np:696 textrank:292
medication	econ:608 auto:647 kea:255 StructMineDataPipeline:85 spacy_np:83 textrank:144
rabbits	econ:1012 auto:412 kea:325 StructMineDataPipeline:178 spacy_np:165 textrank:512
theophylline	econ:8 auto:354 kea:157 StructMineDataPipeline:174 spacy_np:133 textrank:19
helper inducer	econ:484 auto:55 rake:274 kea:1035 StructMineDataPipeline:1119 spacy_np:1092
ldl particles	econ:290 auto:203 rake:249 kea:1135 StructMineDataPipeline:997 spacy_np:901
insulin	econ:219 auto:627 kea:22 StructMineDataPipeline:33 spacy_np:15 textrank:44
red blood cell	econ:277 auto:12 rake:75 kea:638 StructMineDataPipeline:983 spacy_np:926
cambodia	econ:446 auto:303 kea:772 StructMineDataPipeline:532 spacy_np:466 textrank:715
application	econ:372 auto:678 kea:474 StructMineDataPipeline:74 spacy_np:107 textrank:26
definitive evidence	econ:1120 auto:855 rake:300 kea:1045 StructMineDataPipeline:727 spacy_np:714
hnpcc	econ:280 auto:709 kea:196 StructMineDataPipeline:761 spacy_np:658 textrank:280
neuroblastoma	econ:794 auto:211 kea:305 StructMineDataPipeline:324 spacy_np:307 textrank:359
the reduction	auto:1110 spacy_np:58
cvd mortality	econ:1141 auto:324 rake:197 kea:613 StructMineDataPipeline:638 spacy_np:587
deficiency anemia	econ:597 auto:1066 rake:176 kea:686 spacy_np:1109 textrank:756
camkii	econ:930 auto:813 kea:378 StructMineDataPipeline:893 spacy_np:797 textrank:314
scores	econ:285 auto:861 kea:169 StructMineDataPipeline:168 spacy_np:234 textrank:150
upper respiratory tract infection	econ:414 auto:155 rake:8 StructMineDataPipeline:759 spacy_np:755
the optimal duration	auto:1107 spacy_np:609
exposure	econ:287 auto:766 kea:17 StructMineDataPipeline:23 spacy_np:9 textrank:86
cpk	econ:288 auto:495 kea:204 StructMineDataPipeline:1002 spacy_np:811 textrank:295
shunt	econ:615 auto:649 kea:80 StructMineDataPipeline:494 spacy_np:773 textrank:89
cell loss	econ:713 auto:1025 rake:281 kea:956 StructMineDataPipeline:922 spacy_np:808
positive reaction	econ:1147 auto:1074 rake:268 kea:1096 StructMineDataPipeline:742 spacy_np:1111
novartis	econ:339 auto:260 kea:789 StructMineDataPipeline:499 spacy_np:432 textrank:780
half years	econ:1157 auto:1063 rake:109 kea:961 StructMineDataPipeline:428
amyloidosis	econ:286 auto:390 kea:121 StructMineDataPipeline:195 spacy_np:155 textrank:170
mainland china	econ:843 auto:85 rake:221 kea:705 StructMineDataPipeline:451 spacy_np:394
svr	econ:294 auto:751 kea:401 StructMineDataPipeline:664 spacy_np:684 textrank:712
